,neighborhood,latitude,longitude
0,Chelsea,40.7465004,-74.00137370000002
1,Washington Heights,40.8417082,-73.9393554
2,Harlem,40.8115504,-73.9464769
3,East Harlem,40.7957399,-73.93892129999999
4,Upper West Side,40.7870106,-73.9753676
5,Upper East Side,40.7735649,-73.9565551
6,Midtown West,40.7637581,-73.9918181
7,Midtown East,40.7571432,-73.9718815
8,Greenwich Village,40.7335719,-74.0027418
9,Lower East Side,40.715033,-73.9842724
10,Murray Hill,40.7478792,-73.9756567
11,Stuyvesant Town,40.7316903,-73.9778494
12,Upper Manhattan,40.8240478,-73.9447643
13,Hell's Kitchen,40.7637581,-73.9918181
14,East Village,40.7264773,-73.98153370000001
15,SoHo,40.723301,-74.0029883
16,Financial District,40.7077143,-74.00827869999999
17,Garment District,40.7547072,-73.9916342
18,Morningside Heights,40.8105443,-73.9620581
19,Tribeca,40.7162692,-74.0086323
20,Chinatown,40.7157509,-73.9970307
21,Times Square,40.7579747,-73.9855426
