id,status_group
10,functional
13,non functional
14,functional
29,non functional
32,functional
37,functional
47,non functional
53,functional
57,functional
58,non functional
59,non functional
61,non functional
72,non functional
83,non functional
90,functional
99,functional
100,non functional
101,functional
110,non functional
127,non functional
131,functional
135,non functional
141,functional needs repair
143,non functional
154,functional
155,functional
156,functional
163,functional
172,functional
188,functional
208,non functional
211,non functional
216,functional
217,non functional
219,functional
220,functional
228,functional
232,non functional
239,non functional
243,functional
247,functional
251,functional
255,functional
259,functional
263,functional
270,non functional
273,functional
277,functional
282,functional
286,non functional
293,non functional
303,functional
304,functional
309,functional
320,functional
322,functional
324,non functional
329,functional
340,non functional
341,functional
358,non functional
359,non functional
360,functional
364,functional
365,functional
372,functional
375,non functional
376,functional
379,functional
383,non functional
389,functional
390,functional
396,functional
403,functional
405,functional
407,functional
408,functional
409,functional
418,functional
419,functional
427,non functional
428,non functional
453,non functional
466,functional
467,functional
470,functional
473,functional
496,functional
497,functional
499,functional
503,non functional
507,non functional
508,non functional
519,non functional
522,non functional
528,functional
536,functional
547,functional
552,functional
561,functional needs repair
563,non functional
568,functional
570,functional
577,non functional
584,functional
608,non functional
611,non functional
612,non functional
621,non functional
625,functional
629,non functional
635,non functional
643,functional
646,functional
647,functional
653,non functional
663,non functional
671,functional
682,non functional
685,functional
698,functional
704,functional
707,functional
708,functional needs repair
712,functional
726,non functional
731,functional
737,non functional
743,functional
752,functional
755,non functional
762,functional
768,non functional
789,non functional
790,functional
799,non functional
807,functional
809,non functional
817,functional
819,non functional
830,non functional
833,non functional
835,non functional
840,functional
845,non functional
848,functional
849,functional
858,functional
862,functional
865,non functional
868,functional
873,non functional
882,non functional
884,functional
886,functional
889,functional
891,non functional
893,functional
894,functional
895,functional
898,functional
899,functional
901,non functional
902,functional
904,non functional
907,functional
908,functional
911,non functional
912,non functional
913,functional
914,functional
915,functional
917,functional
918,functional
920,functional
933,functional
936,non functional
945,non functional
949,non functional
952,non functional
955,functional
958,functional
959,functional
963,functional
965,functional
973,non functional
974,non functional
975,non functional
976,non functional
986,non functional
992,functional
997,non functional
1000,functional
1001,functional
1003,functional
1005,functional
1010,non functional
1018,functional
1020,functional
1023,functional
1028,functional
1048,non functional
1049,non functional
1051,functional
1065,functional
1081,non functional
1084,functional
1090,non functional
1098,functional
1099,functional
1103,functional
1111,functional
1112,functional
1121,functional
1122,non functional
1131,non functional
1137,functional
1143,functional
1149,functional
1163,functional
1164,functional
1172,functional
1177,functional
1178,functional
1183,functional
1188,functional
1195,non functional
1198,non functional
1207,non functional
1211,functional
1215,functional
1219,functional
1223,non functional
1228,non functional
1233,functional
1238,functional
1252,functional
1256,non functional
1257,functional
1265,functional
1271,functional
1272,functional
1274,functional needs repair
1283,functional
1290,functional
1291,functional
1312,functional
1313,functional
1320,functional
1329,functional
1332,functional
1334,functional
1341,non functional
1344,functional
1350,functional
1361,functional
1365,non functional
1370,non functional
1372,non functional
1386,functional needs repair
1398,non functional
1407,non functional
1413,functional
1419,non functional
1420,functional
1431,functional
1435,functional
1457,non functional
1458,functional
1466,functional
1467,non functional
1468,functional
1482,functional
1483,non functional
1493,functional
1496,non functional
1499,non functional
1501,functional
1506,functional
1512,non functional
1514,functional
1519,functional
1520,non functional
1521,functional
1523,non functional
1538,functional
1539,non functional
1540,functional
1543,non functional
1545,functional
1546,functional
1554,functional
1558,non functional
1565,non functional
1566,functional needs repair
1570,functional
1574,functional
1580,functional
1589,non functional
1591,functional
1597,functional
1600,functional
1602,functional
1612,functional
1625,functional
1632,non functional
1639,functional
1642,functional
1648,functional
1649,functional
1653,non functional
1661,functional
1663,functional
1666,functional
1673,non functional
1676,functional
1677,non functional
1680,functional
1681,functional
1687,non functional
1704,functional
1707,functional
1712,functional
1714,non functional
1717,functional
1718,non functional
1721,functional
1724,functional
1743,functional
1745,functional needs repair
1749,non functional
1761,functional
1767,functional
1768,functional
1771,non functional
1781,functional
1782,non functional
1784,non functional
1787,functional
1789,functional
1792,functional
1793,functional
1795,functional
1798,non functional
1804,non functional
1807,functional
1814,non functional
1819,functional
1826,non functional
1830,functional
1832,functional
1857,non functional
1867,functional
1869,functional
1871,non functional
1873,non functional
1878,functional
1884,non functional
1885,functional
1887,functional
1889,functional
1901,non functional
1917,non functional
1923,non functional
1931,non functional
1932,functional
1933,functional
1934,functional
1939,non functional
1942,non functional
1945,non functional
1949,functional
1951,non functional
1952,non functional
1955,functional
1957,non functional
1958,functional
1960,functional
1968,functional
1969,functional
1978,functional
1988,functional
1998,functional needs repair
2000,functional
2002,functional
2003,non functional
2005,functional
2006,functional
2007,functional
2009,functional
2012,non functional
2016,functional
2017,functional
2027,non functional
2036,non functional
2039,non functional
2043,functional
2049,functional
2053,functional
2063,non functional
2064,functional
2067,functional
2070,non functional
2079,functional
2082,functional needs repair
2087,functional
2093,functional needs repair
2095,non functional
2100,functional
2116,non functional
2125,non functional
2132,functional
2135,functional
2139,functional needs repair
2140,non functional
2142,functional
2150,non functional
2151,functional
2155,functional
2158,non functional
2159,non functional
2162,functional
2164,functional
2167,functional
2170,functional
2174,functional
2177,functional
2178,functional
2180,functional
2181,non functional
2185,non functional
2190,non functional
2191,non functional
2195,non functional
2196,non functional
2203,functional
2208,functional
2211,functional needs repair
2225,non functional
2230,functional
2246,functional
2247,functional
2249,non functional
2252,non functional
2255,functional
2260,functional
2262,functional
2268,functional
2271,non functional
2279,functional
2285,functional
2286,functional
2308,non functional
2311,functional
2314,functional
2318,functional
2320,functional
2338,functional
2345,functional
2349,non functional
2358,non functional
2361,functional
2367,functional
2370,non functional
2375,non functional
2376,functional
2381,functional
2382,functional
2387,functional
2389,functional
2399,functional
2407,non functional
2408,functional
2418,functional
2446,functional
2447,functional
2448,functional needs repair
2449,non functional
2451,functional
2456,non functional
2459,non functional
2465,functional
2467,functional
2477,non functional
2478,functional
2493,non functional
2495,functional
2498,non functional
2505,functional
2512,functional
2519,functional
2527,functional
2532,functional
2534,functional
2540,functional
2544,functional
2556,functional
2557,functional
2576,functional
2578,non functional
2579,functional
2580,non functional
2581,functional
2589,functional
2593,functional
2601,functional
2609,non functional
2621,functional
2633,functional
2638,functional
2647,non functional
2648,non functional
2650,non functional
2651,non functional
2653,non functional
2655,functional needs repair
2666,non functional
2681,functional
2691,functional
2702,functional
2709,functional
2715,functional
2723,functional
2724,non functional
2725,functional
2741,functional needs repair
2743,non functional
2751,functional
2755,functional
2758,non functional
2768,functional
2769,functional
2779,non functional
2782,functional
2786,non functional
2789,functional
2791,functional
2796,functional
2797,functional
2798,functional
2800,non functional
2801,functional
2807,functional
2808,functional
2809,functional
2811,functional
2832,functional
2838,functional
2840,non functional
2843,functional needs repair
2848,functional
2852,functional
2854,functional
2855,functional
2860,functional
2862,functional
2866,functional
2867,non functional
2868,functional
2874,non functional
2875,functional
2876,functional
2877,non functional
2882,non functional
2884,functional
2891,functional
2899,functional
2906,functional
2910,functional
2923,non functional
2925,functional
2929,functional
2930,functional
2932,functional
2939,non functional
2941,functional
2949,functional
2959,functional
2961,functional
2966,functional
2978,functional
2981,functional
2986,functional
2988,functional
2999,non functional
3000,functional
3009,functional
3018,non functional
3022,functional
3024,functional needs repair
3027,non functional
3040,non functional
3047,functional
3060,non functional
3064,functional
3066,non functional
3088,functional
3089,non functional
3102,functional
3105,non functional
3106,non functional
3108,functional
3121,non functional
3130,non functional
3137,non functional
3138,functional needs repair
3144,functional
3145,non functional
3148,non functional
3149,functional
3152,non functional
3157,non functional
3158,functional
3161,functional
3172,functional
3182,functional
3186,functional
3188,non functional
3190,non functional
3193,functional
3205,functional needs repair
3217,non functional
3220,functional
3221,non functional
3225,non functional
3227,non functional
3251,non functional
3257,functional
3269,non functional
3271,non functional
3281,functional
3284,functional
3293,functional
3294,non functional
3298,functional
3302,functional
3309,non functional
3310,non functional
3312,functional
3315,non functional
3321,functional needs repair
3325,functional
3326,functional
3331,non functional
3332,functional
3336,functional
3341,functional
3344,functional
3345,functional
3347,functional
3350,non functional
3351,functional
3353,functional
3362,non functional
3364,functional
3372,non functional
3374,non functional
3378,functional
3380,functional
3382,non functional
3388,non functional
3389,non functional
3390,non functional
3398,functional
3404,functional
3409,functional
3416,functional
3420,non functional
3421,non functional
3424,non functional
3425,functional
3429,functional
3430,non functional
3448,functional
3449,non functional
3451,non functional
3452,functional
3455,functional
3463,functional needs repair
3466,functional
3469,functional
3474,non functional
3481,functional
3484,functional
3489,functional
3493,functional
3496,functional needs repair
3497,functional
3499,functional
3501,functional
3503,functional
3505,non functional
3506,functional
3507,functional
3509,functional
3511,non functional
3517,functional
3521,functional
3534,functional
3537,non functional
3541,functional
3546,functional
3554,functional
3570,functional needs repair
3574,non functional
3575,functional
3583,non functional
3593,functional
3604,non functional
3605,functional
3612,functional
3617,functional
3618,functional
3641,functional
3648,functional
3649,functional
3655,functional
3664,functional
3693,functional
3701,non functional
3703,functional
3716,functional
3718,functional
3719,non functional
3720,functional
3724,non functional
3730,functional
3735,non functional
3737,non functional
3741,non functional
3742,functional
3745,non functional
3761,non functional
3773,functional
3778,functional
3782,functional
3792,non functional
3793,non functional
3797,non functional
3798,functional
3803,non functional
3805,non functional
3807,non functional
3810,functional
3816,non functional
3830,non functional
3839,non functional
3847,functional
3858,functional
3861,functional
3866,non functional
3872,functional
3882,non functional
3885,functional
3887,non functional
3890,non functional
3892,functional
3895,non functional
3905,non functional
3908,functional
3915,functional
3917,functional
3925,functional
3932,functional
3933,functional
3936,functional
3942,non functional
3949,non functional
3952,functional
3953,functional
3955,functional
3973,functional
3976,non functional
3977,functional
3981,functional
3982,functional
3988,non functional
3990,functional
3996,functional
4003,functional
4005,functional
4023,functional
4033,functional
4037,non functional
4055,non functional
4066,functional
4068,non functional
4073,functional
4091,functional
4092,non functional
4094,functional
4103,non functional
4104,non functional
4109,functional
4110,functional
4124,functional
4130,non functional
4135,functional
4143,functional
4149,non functional
